time,seconds_elapsed,z,y,x
1772959465012515600,0.111515625,9.853643417358398,0.3481557071208954,1.4321043491363525
1772959465031109000,0.130109130859375,9.76989459991455,0.30149564146995544,1.4572290182113647
1772959465049702700,0.14870263671875,9.784252166748047,0.2847459018230438,1.6689938306808472
1772959465068296000,0.1672958984375,9.736394882202148,0.1866401731967926,1.8759729862213135
1772959465086889700,0.1858896484375,9.570094108581543,0.06340979784727097,1.8867406845092773
1772959465105483300,0.204483154296875,9.693324089050293,0.07178468257188797,1.9561325311660767
1772959465124076500,0.22307666015625,10.438689231872559,-0.21655045449733734,2.2707886695861816
1772959465142670000,0.241670166015625,12.0933256149292,-1.0648061037063599,2.3473589420318604
1772959465161263600,0.260263671875,14.794822692871094,-2.4119651317596436,2.0793628692626953
1772959465179857200,0.278857177734375,18.20818328857422,-2.032702922821045,-0.15912270545959473
1772959465198450700,0.29745068359375,24.253650665283203,-3.913461446762085,-1.1066805124282837
1772959465217044000,0.3160439453125,27.199214935302734,-6.013163089752197,5.8683977127075195
1772959465235637500,0.334637451171875,27.735206604003906,-6.592226505279541,-2.2995026111602783
1772959465254231000,0.35323095703125,18.634105682373047,-6.626922130584717,0.8279166221618652
1772959465272824600,0.371824462890625,11.282158851623535,-2.0853450298309326,2.200200319290161
1772959465291418000,0.390418212890625,6.9236321449279785,0.22851456701755524,1.9286150932312012
1772959465310011600,0.40901171875,4.400400638580322,0.9930213689804077,2.3736801147460938
1772959465328605200,0.427605224609375,3.7950167655944824,2.496910333633423,1.6307085752487183
1772959465347198700,0.44619873046875,4.0426740646362305,3.212364435195923,0.25722843408584595
1772959465365792000,0.4647919921875,4.351347923278809,2.737389087677002,-0.15074782073497772
1772959465384385500,0.483385498046875,4.7030930519104,2.166700839996338,-0.3170489966869354
1772959465402979000,0.50197900390625,4.540380954742432,2.289931297302246,-1.0372886657714844
1772959465421572600,0.520572509765625,4.195814609527588,2.644068956375122,-1.5493526458740234
1772959465440166100,0.539166259765625,4.347758769989014,2.5663022994995117,-1.7383856773376465
1772959465458759700,0.557759765625,5.869594097137451,2.528017044067383,-2.5052852630615234
1772959465477353200,0.576353271484375,7.971688747406006,2.33180570602417,-2.9479575157165527
1772959465495946500,0.594946533203125,8.639286041259766,1.7958134412765503,-2.63449764251709
1772959465514540000,0.6135400390625,8.23011302947998,2.066202402114868,-2.4849462509155273
1772959465533133600,0.632133544921875,7.45364236831665,2.7361927032470703,-2.3880369663238525
1772959465551727000,0.65072705078125,6.757331371307373,3.339184045791626,-2.1882362365722656
1772959465570320600,0.669320556640625,6.642475605010986,3.4755749702453613,-1.8233308792114258
1772959465588914200,0.6879140625,6.900900363922119,3.5880374908447266,-1.7802600860595703
1772959465607507700,0.7065078125,7.777870178222656,3.469592809677124,-1.8029918670654297
1772959465626101200,0.725101318359375,8.615358352661133,3.0616166591644287,-1.6713865995407104
1772959465644694800,0.74369482421875,8.803194046020508,2.7122645378112793,-1.7491533756256104
1772959465663288300,0.762288330078125,8.414361000061035,2.706282377243042,-1.9860427379608154
1772959465681881600,0.780881591796875,7.984848976135254,2.837887763977051,-2.0518453121185303
1772959465700475100,0.79947509765625,7.936992645263672,2.823530673980713,-1.7491533756256104
1772959465719068700,0.818068603515625,8.323433876037598,2.504088878631592,-1.459621787071228
1772959465737662200,0.836662109375,8.847461700439453,2.1846470832824707,-1.3794622421264648
1772959465756255700,0.855255859375,9.461220741271973,2.045863389968872,-1.3854442834854126
1772959465774849300,0.873849365234375,10.051051139831543,2.094916343688965,-1.1078768968582153
1772959465793442800,0.89244287109375,10.225728034973145,1.9896320104599,-0.6687939167022705
1772959465812036400,0.911036376953125,10.217352867126465,1.9369899034500122,-0.5180460810661316
1772959465830630000,0.9296298828125,9.88833999633789,2.0135602951049805,-0.6137589812278748
1772959465849223400,0.948223388671875,9.541379928588867,2.2193429470062256,-0.4953143000602722
1772959465867817000,0.96681689453125,9.477970123291016,2.420340061187744,-0.01196411345154047
1772959465886410500,0.985410400390625,9.626325607299805,2.586641311645508,0.11006984114646912
1772959465905003800,1.004003662109375,9.747162818908691,2.562713146209717,0.14715859293937683
